station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
PTAG,IGS,1,0,0,0,0,3.1,-5.5,-6.2,8.9,24.0,0,Неопределено
PTGG,IGS,1,0,0,0,0,0.2,-9.2,-11.9,15.100000000000001,25.0,0,Неопределено
RAEG,IGS,1,0,0,0,0,12.9,7.7,0.4,15.0,22.0,0,Неопределено
PTVL,IGS,1,0,0,0,0,8.6,3.3,3.5,9.9,26.0,0,Неопределено
RABT,IGS,1,0,0,0,0,4.2,7.1000000000000005,-18.0,19.8,25.0,0,Неопределено
QAQ1,IGS,1,0,0,0,0,4.1000000000000005,2.7,3.7,6.2,25.0,0,Неопределено
QUIN,IGS,1,0,0,0,0,3.4,0.3,-0.7,3.5,23.0,0,Неопределено
ROAG,IGS,1,0,0,0,0,1.3,3.0,-14.0,14.4,23.0,0,Неопределено
RIGA,IGS,1,0,0,0,0,10.7,0.0,4.0,11.4,13.0,0,Неопределено
RIO2,IGS,1,0,0,0,0,-4.5,-0.5,-8.0,9.2,28.0,0,Неопределено
SALU,IGS,1,0,0,0,0,9.0,12.1,1.0,15.100000000000001,21.0,0,Неопределено
SASK,IGS,1,0,0,0,0,-3.1,1.8,2.7,4.5,28.0,0,Неопределено
SAMO,IGS,1,0,0,0,0,15.8,37.1,-113.3,120.3,24.0,0,Неопределено
SANT,IGS,1,0,0,0,0,-19.0,-187.70000000000002,9.9,188.9,26.0,0,Неопределено
SAVO,IGS,1,0,0,0,0,-32.7,-117.0,69.2,139.8,23.0,0,Неопределено
SCH2,IGS,1,0,0,0,0,-29.3,-0.4,-6.4,30.0,21.0,0,Неопределено
SCRZ,IGS,1,0,0,0,0,4.1000000000000005,-2.9,-7.6,9.1,19.0,0,Неопределено
SOFI,IGS,1,0,0,0,0,-0.3,0.5,-8.3,8.4,20.0,0,Неопределено
SOD3,IGS,1,0,0,0,0,2.2,2.1,-16.400000000000002,16.7,25.0,0,Неопределено
SPT0,IGS,1,0,0,0,0,9.700000000000001,2.0,-16.299999999999997,19.0,23.0,0,Неопределено
STR1,IGS,1,0,0,0,0,-2.9,-5.2,-8.1,10.1,27.0,0,Неопределено
THTI,IGS,1,0,0,0,0,2.9,5.1000000000000005,26.700000000000003,27.3,21.0,0,Неопределено
THTG,IGS,1,0,0,0,0,5.5,-3.6,15.7,17.0,21.0,0,Неопределено
TLSG,IGS,1,0,0,0,0,2.2,2.2,-11.5,11.9,24.0,0,Неопределено
TLSE,IGS,1,0,0,0,0,1.2,3.2,-10.5,11.0,23.0,0,Неопределено
TID1,IGS,1,0,0,0,0,-0.6,-7.6,-20.299999999999997,21.7,29.0,0,Неопределено
TIT2,IGS,1,0,0,0,0,2.6,2.2,-6.6,7.5,26.0,0,Неопределено
THU2,IGS,1,0,0,0,0,7.1000000000000005,-3.9,-5.5,9.799999999999999,25.0,0,Неопределено
TOW2,IGS,1,0,0,0,0,0.2,-3.4,1.1,3.6,26.0,0,Неопределено
TWTF,IGS,1,0,0,0,0,2.6,2.1,-8.5,9.1,21.0,0,Неопределено
UFPR,IGS,1,0,0,0,0,5.1000000000000005,-5.8,-8.200000000000001,11.299999999999999,25.0,0,Неопределено
UCLU,IGS,1,0,0,0,0,-5.8,-4.1000000000000005,-3.5,8.0,24.0,0,Неопределено
TUVA,IGS,1,0,0,0,0,-15.0,-1.7,0.8,15.100000000000001,27.0,0,Неопределено
VALD,IGS,1,0,0,0,0,5.7,-2.6,19.7,20.7,11.0,0,Неопределено
USUD,IGS,1,0,0,0,0,32.7,315.09999999999997,42.5,319.6,20.0,0,Неопределено
URUM,IGS,1,0,0,0,0,-0.7,3.7,-34.6,34.8,24.0,0,Неопределено
USN8,IGS,1,0,0,0,0,5.5,-0.2,-10.0,11.4,19.0,0,Неопределено
VACS,IGS,1,0,0,0,0,-1.2,0.0,2.2,2.5,23.0,0,Неопределено
VIS0,IGS,1,0,0,0,0,9.9,6.4,-7.9,14.200000000000001,23.0,0,Неопределено
VILL,IGS,1,0,0,0,0,6.5,7.3,-10.1,14.0,24.0,0,Неопределено
