station,n_meas,r3d_mean,r3d_std,r3d_min,r3d_max,r3d_sem,dN_mean,dN_std,dE_mean,dE_std,dU_mean,dU_std,nsat_mean,nsat_std,nsat_min,nsat_max,duration_mean,duration_std,q_mean,skp_N,skp_E,skp_U,skp_3D,category
SEYG,26,0.014423,0.004995,0.0061,0.0248,0.00098,-0.002927,0.00637,-0.000962,0.00473,0.00855,0.00963,24.846154,1.953301,21,29,210.857692,50.459339,1.0,0.00637,0.00473,0.00963,0.004995,Прецизионные (3-5 мм)
SFER,21,0.012529,0.00535,0.0047,0.0241,0.001167,-0.004005,0.003191,-9.5e-05,0.004087,-0.009005,0.00798,22.285714,1.616875,19,25,155.557143,32.772741,1.0,0.003191,0.004087,0.00798,0.00535,Высокоточные (5-8 мм)
SGOC,12,0.009083,0.003987,0.0052,0.0192,0.001151,0.002933,0.004177,-0.001658,0.003659,-0.005358,0.00557,26.416667,2.020726,22,30,206.091667,49.799205,1.0,0.004177,0.003659,0.00557,0.003987,Прецизионные (3-5 мм)
SOD3,25,0.00882,0.004158,0.0036,0.0179,0.000832,0.001572,0.002879,0.002336,0.003408,-0.004988,0.006638,28.28,2.111871,24,33,216.364,40.962766,1.0,0.002879,0.003408,0.006638,0.004158,Прецизионные (3-5 мм)
SOFI,24,0.016575,0.011313,0.0011,0.0465,0.002309,-0.001238,0.00395,-0.004233,0.006636,-0.010758,0.014615,21.916667,2.483277,13,25,162.320833,50.118208,1.0,0.00395,0.006636,0.014615,0.011313,Средней точности (8-12 мм)
SOLO,22,0.019918,0.005154,0.0088,0.0285,0.001099,0.015264,0.003931,-0.002955,0.005909,0.006818,0.009494,23.681818,4.086987,14,30,191.127273,76.554663,1.0,0.003931,0.005909,0.009494,0.005154,Высокоточные (5-8 мм)
SPT0,25,0.009068,0.005212,0.0027,0.021,0.001042,0.002084,0.002872,0.001544,0.003543,-0.005568,0.007277,24.4,2.236068,19,29,183.968,44.965039,1.0,0.002872,0.003543,0.007277,0.005212,Высокоточные (5-8 мм)
STHL,23,0.006765,0.003415,0.0024,0.0154,0.000712,0.002239,0.002756,-0.00153,0.002965,0.001596,0.00572,25.826087,2.367434,19,30,190.969565,29.986837,1.0,0.002756,0.002965,0.00572,0.003415,Прецизионные (3-5 мм)
STJ3,24,0.009879,0.003701,0.0026,0.0197,0.000756,0.001938,0.003629,0.000442,0.00393,-0.007021,0.005612,26.333333,2.958652,21,34,196.004167,43.589054,1.0,0.003629,0.00393,0.005612,0.003701,Прецизионные (3-5 мм)
STJO,24,0.011588,0.005681,0.0023,0.0244,0.00116,0.003246,0.004025,0.001312,0.003648,-0.008429,0.00748,25.666667,2.315668,22,29,183.179167,44.820036,1.0,0.004025,0.003648,0.00748,0.005681,Высокоточные (5-8 мм)
STPM,25,0.009852,0.003272,0.0057,0.0179,0.000654,0.003212,0.004005,0.005412,0.003483,-0.003192,0.005645,24.6,2.661453,19,30,190.044,41.318298,1.0,0.004005,0.003483,0.005645,0.003272,Прецизионные (3-5 мм)
STR1,25,0.0116,0.005648,0.0017,0.0256,0.00113,-0.002,0.004227,-0.004668,0.006862,0.003488,0.008204,22.6,5.91608,10,30,148.056,83.740328,1.4,0.004227,0.006862,0.008204,0.005648,Высокоточные (5-8 мм)
STR2,23,0.012617,0.004836,0.0048,0.023,0.001008,-0.001413,0.004661,-0.006061,0.007206,0.006887,0.005131,21.782609,5.204513,9,29,128.273913,75.068043,1.434783,0.004661,0.007206,0.005131,0.004836,Прецизионные (3-5 мм)
SULP,11,0.0108,0.005781,0.0034,0.0204,0.001743,0.002773,0.003009,0.001827,0.004521,-0.008427,0.006519,22.181818,2.315953,16,25,188.218182,51.171903,1.0,0.003009,0.004521,0.006519,0.005781,Высокоточные (5-8 мм)
SUTH,20,0.011125,0.005865,0.0041,0.0261,0.001311,-0.00297,0.002968,-0.003195,0.004763,0.00685,0.00797,25.65,2.518876,19,28,187.945,48.802464,1.0,0.002968,0.004763,0.00797,0.005865,Высокоточные (5-8 мм)
SUTM,26,0.008388,0.003674,0.0019,0.0162,0.000721,-0.004227,0.00239,-0.003146,0.003395,-0.003027,0.00555,25.884615,2.761549,18,32,196.946154,48.154005,1.0,0.00239,0.003395,0.00555,0.003674,Прецизионные (3-5 мм)
SVTL,22,0.008095,0.004139,0.0011,0.0164,0.000883,0.001505,0.002368,-0.001623,0.002644,0.003732,0.007323,25.909091,2.244763,21,29,200.704545,18.853457,1.0,0.002368,0.002644,0.007323,0.004139,Прецизионные (3-5 мм)
TASH,25,0.020068,0.003574,0.0149,0.0255,0.000715,0.004392,0.002539,0.002144,0.002959,-0.019092,0.003415,23.44,2.69382,18,29,174.536,24.629909,1.0,0.002539,0.002959,0.003415,0.003574,Прецизионные (3-5 мм)
THTG,25,0.02198,0.010597,0.0028,0.0434,0.002119,0.007628,0.006094,0.000128,0.009127,0.017588,0.010553,20.04,3.634098,13,27,168.2,70.946559,1.0,0.006094,0.009127,0.010553,0.010597,Средней точности (8-12 мм)
THU2,24,0.007242,0.002966,0.0021,0.0129,0.000605,0.000312,0.003143,-0.000933,0.003153,-0.002521,0.005997,25.75,1.452135,23,28,216.216667,17.823718,1.0,0.003143,0.003153,0.005997,0.002966,Экстра-прецизионные (< 3 мм)
TID1,21,0.011,0.007158,0.0044,0.0264,0.001562,-0.001624,0.005212,-0.004114,0.007862,-0.001752,0.008094,23.285714,5.908831,10,30,141.27619,80.045586,1.714286,0.005212,0.007862,0.008094,0.007158,Высокоточные (5-8 мм)
TIT2,25,0.00968,0.003935,0.0046,0.0176,0.000787,0.000376,0.00456,-0.000912,0.004643,-0.00552,0.006152,25.96,2.589723,19,29,193.58,51.975387,1.2,0.00456,0.004643,0.006152,0.003935,Прецизионные (3-5 мм)
TLSE,26,0.007577,0.003951,0.0018,0.017,0.000775,0.000112,0.002615,0.002438,0.003863,-0.002327,0.00645,23.730769,2.631466,18,28,186.35,49.013127,1.0,0.002615,0.003863,0.00645,0.003951,Прецизионные (3-5 мм)
TLSG,24,0.006783,0.003226,0.0027,0.0168,0.000658,0.00105,0.002346,0.000508,0.004127,-0.002221,0.005405,25.291667,2.612331,19,30,187.641667,46.904166,1.208333,0.002346,0.004127,0.005405,0.003226,Прецизионные (3-5 мм)
TOPL,22,0.007955,0.00411,0.001,0.0187,0.000876,0.003041,0.002921,-0.000527,0.003565,-0.001359,0.007057,20.909091,2.505405,15,26,198.568182,13.435751,1.0,0.002921,0.003565,0.007057,0.00411,Прецизионные (3-5 мм)
TOW2,25,0.020308,0.007462,0.0071,0.0355,0.001492,-0.001952,0.007546,-0.003652,0.008807,0.006268,0.017091,23.56,4.655463,15,31,162.228,86.090706,1.2,0.007546,0.008807,0.017091,0.007462,Высокоточные (5-8 мм)
TUVA,24,0.015412,0.007889,0.0037,0.0348,0.00161,-0.005979,0.006519,-0.000696,0.006194,0.007783,0.011329,22.208333,5.702625,10,29,181.591667,76.387177,1.416667,0.006519,0.006194,0.011329,0.007889,Высокоточные (5-8 мм)
TWTF,22,0.015682,0.007435,0.0052,0.0373,0.001585,-0.003868,0.00488,0.003918,0.004862,-0.011645,0.009569,19.136364,2.568962,13,24,134.290909,49.518115,1.0,0.00488,0.004862,0.009569,0.007435,Высокоточные (5-8 мм)
UCLU,23,0.008478,0.004257,0.0036,0.0187,0.000888,-0.0022,0.003059,0.001774,0.003769,0.003035,0.007207,21.217391,2.712874,16,28,165.278261,46.836252,1.0,0.003059,0.003769,0.007207,0.004257,Прецизионные (3-5 мм)
UFPR,23,0.007135,0.003309,0.0034,0.0143,0.00069,-0.000804,0.002889,-0.001139,0.003499,0.002435,0.00593,19.652174,3.069034,10,23,180.082609,40.800743,1.217391,0.002889,0.003499,0.00593,0.003309,Прецизионные (3-5 мм)
ULAB,24,0.024425,0.013297,0.0049,0.0522,0.002714,0.003688,0.003472,0.003912,0.004909,-0.023329,0.012917,23.291667,3.444961,16,28,174.741667,46.435527,1.0,0.003472,0.004909,0.012917,0.013297,Пониженной точности (12-20 мм)
UNB3,17,0.009165,0.00403,0.0027,0.0154,0.000977,0.000235,0.003697,0.002588,0.003423,-0.005382,0.006512,22.941176,2.41015,19,27,169.629412,48.279586,1.294118,0.003697,0.003423,0.006512,0.00403,Прецизионные (3-5 мм)
UNSA,25,0.0116,0.004821,0.0038,0.0233,0.000964,-0.001256,0.003929,0.003304,0.00501,-0.008632,0.005671,21.92,3.499047,8,26,189.46,42.07729,1.2,0.003929,0.00501,0.005671,0.004821,Прецизионные (3-5 мм)
USN7,25,0.014248,0.005282,0.0047,0.0247,0.001056,0.003664,0.00246,0.001512,0.003674,-0.011176,0.008545,21.52,2.48529,15,26,184.296,27.459872,1.0,0.00246,0.003674,0.008545,0.005282,Высокоточные (5-8 мм)
USN8,26,0.013158,0.0056,0.0033,0.0273,0.001098,0.003396,0.002578,0.002627,0.003491,-0.009519,0.008906,21.115385,2.761549,15,26,171.011538,47.859581,1.0,0.002578,0.003491,0.008906,0.0056,Высокоточные (5-8 мм)
UTQI,27,0.012415,0.005152,0.0038,0.0221,0.000992,0.001644,0.004122,-0.005493,0.003674,0.008126,0.007308,24.518519,2.470913,19,30,189.944444,50.045221,1.0,0.004122,0.003674,0.007308,0.005152,Высокоточные (5-8 мм)
VACS,24,0.014971,0.011656,0.0019,0.0508,0.002379,0.001733,0.007251,0.001338,0.00683,0.005367,0.015358,23.583333,2.733316,19,28,184.8375,56.857341,1.0,0.007251,0.00683,0.015358,0.011656,Средней точности (8-12 мм)
