station,n_meas,bias_N,skp_N,bias_E,skp_E,bias_U,skp_U,rms_3d,std_3d,mean_3d,nsat_mean,duration_mean,q_fix_ratio,skp_3D,category
STJ3,34,0.00135,0.00327,0.000868,0.0037,-0.006324,0.004958,0.009482,0.00301,0.009006,25.970588,198.352941,1.0,0.00301,Средней точности (8-12 мм)
STJO,32,0.001944,0.003386,0.001753,0.003685,-0.006344,0.005381,0.009973,0.003534,0.009347,25.34375,189.9375,1.0,0.003534,Средней точности (8-12 мм)
STPM,34,0.002503,0.003754,0.00555,0.003354,-0.003859,0.004029,0.009599,0.002667,0.009232,24.058824,197.832353,1.0,0.002667,Средней точности (8-12 мм)
STR1,35,-0.002051,0.003886,-0.005557,0.0068,0.002906,0.008531,0.013193,0.005833,0.011874,22.628571,151.145714,0.885714,0.005833,Пониженной точности (12-20 мм)
STR2,32,-0.001594,0.004774,-0.006234,0.007035,0.006425,0.004838,0.013247,0.004768,0.012388,21.90625,128.771875,0.90625,0.004768,Пониженной точности (12-20 мм)
SULP,17,0.003229,0.002749,0.002765,0.004229,-0.008853,0.006747,0.012758,0.006059,0.011324,22.235294,194.935294,1.0,0.006059,Пониженной точности (12-20 мм)
SUTH,27,-0.002778,0.002948,-0.002822,0.004522,0.007859,0.007552,0.012675,0.005543,0.011448,25.259259,186.462963,1.0,0.005543,Пониженной точности (12-20 мм)
SUTM,37,-0.004065,0.002453,-0.002905,0.003348,-0.00247,0.005576,0.008846,0.003585,0.008108,25.540541,197.435135,1.0,0.003585,Средней точности (8-12 мм)
SVTL,32,0.001609,0.002328,-0.001797,0.002475,0.003347,0.007882,0.00939,0.004033,0.008509,25.4375,200.6625,1.0,0.004033,Средней точности (8-12 мм)
TASH,36,0.004072,0.002426,0.002306,0.003067,-0.019119,0.00345,0.02036,0.003603,0.020047,22.888889,175.522222,1.0,0.003603,Низкой точности (20-50 мм)
THTG,35,0.006857,0.005699,-0.00116,0.008336,0.017254,0.010523,0.023528,0.010226,0.02126,20.028571,171.362857,1.0,0.010226,Низкой точности (20-50 мм)
THU2,35,0.001154,0.002991,-0.000783,0.003191,-0.002323,0.005608,0.007518,0.002721,0.007023,25.657143,215.434286,1.0,0.002721,Высокоточные (5-8 мм)
TID1,30,-0.0015,0.00467,-0.0046,0.007289,-0.002783,0.007702,0.012684,0.006771,0.010797,23.5,144.306667,0.866667,0.006771,Пониженной точности (12-20 мм)
TIT2,35,0.000934,0.004404,-0.000666,0.004625,-0.006129,0.006656,0.011036,0.003882,0.010351,26.457143,198.608571,0.971429,0.003882,Средней точности (8-12 мм)
TLSE,37,0.000268,0.002588,0.002638,0.003777,-0.002524,0.006038,0.008328,0.003982,0.007343,24.351351,190.883784,1.0,0.003982,Средней точности (8-12 мм)
TLSG,33,0.00093,0.002131,0.000518,0.004122,-0.002888,0.003416,0.00646,0.002345,0.006033,26.151515,197.766667,1.0,0.002345,Высокоточные (5-8 мм)
TOPL,32,0.002872,0.002902,-0.000431,0.003651,-0.000569,0.006524,0.008446,0.003839,0.007553,21.34375,199.04375,1.0,0.003839,Средней точности (8-12 мм)
TOW2,37,-0.002273,0.007757,-0.004559,0.009351,0.007251,0.015827,0.02158,0.008304,0.019965,23.216216,158.613514,0.972973,0.008304,Низкой точности (20-50 мм)
TUVA,34,-0.005329,0.006297,-0.000665,0.005866,0.008697,0.010436,0.016796,0.007873,0.014897,22.441176,182.497059,0.911765,0.007873,Пониженной точности (12-20 мм)
TWTF,31,-0.003552,0.004436,0.00381,0.004624,-0.012584,0.008615,0.017231,0.006712,0.015916,19.290323,136.13871,1.0,0.006712,Пониженной точности (12-20 мм)
UCLU,29,-0.002066,0.002738,0.002514,0.003468,0.00029,0.004258,0.00685,0.002232,0.00649,22.137931,180.941379,1.0,0.002232,Высокоточные (5-8 мм)
UFPR,34,-0.000697,0.002713,-0.001024,0.003385,0.001391,0.006007,0.007543,0.003213,0.006847,19.764706,179.247059,0.941176,0.003213,Высокоточные (5-8 мм)
ULAB,26,0.002127,0.001169,0.003088,0.003875,-0.017019,0.004546,0.018381,0.004245,0.017904,24.615385,181.565385,1.0,0.004245,Пониженной точности (12-20 мм)
UNB3,24,-0.0003,0.003395,0.002575,0.003401,-0.004754,0.005858,0.00917,0.003756,0.0084,22.666667,171.008333,0.958333,0.003756,Средней точности (8-12 мм)
UNSA,34,-0.000835,0.00395,0.003259,0.004786,-0.007847,0.004456,0.011389,0.004026,0.010676,22.941176,198.691176,1.0,0.004026,Средней точности (8-12 мм)
USN7,36,0.003636,0.0024,0.001428,0.003507,-0.011636,0.007525,0.014954,0.004931,0.014142,21.0,183.811111,1.0,0.004931,Пониженной точности (12-20 мм)
USN8,37,0.003338,0.002462,0.002508,0.003329,-0.010043,0.007894,0.013982,0.005176,0.013016,20.702703,172.537838,1.0,0.005176,Пониженной точности (12-20 мм)
UTQI,38,0.001416,0.003619,-0.005558,0.003464,0.007724,0.007252,0.012966,0.005066,0.011963,24.631579,193.847368,1.0,0.005066,Пониженной точности (12-20 мм)
